Town,County,Per capita income,Location,Lat,Lon
"Freemansburg, Pennsylvania",Northampton County,"$17,983 ","Freemansburg, Northampton County, Pennsylvania, USA",40.6264875,-75.345735
"West Easton, Pennsylvania",Northampton County,"$17,901 ","West Easton, Northampton County, Pennsylvania, USA",40.6787626,-75.2368496
"Penndel, Pennsylvania",Bucks County,"$17,897 ","Penndel, Bucks County, Pennsylvania, USA",40.1520541,-74.9165553
"Bangor, Pennsylvania",Northampton County,"$17,742 ","Bangor, Northampton County, Pennsylvania, USA",40.8656515,-75.2065677
"Glendon, Pennsylvania",Northampton County,"$17,593 ","Glendon, Northampton County, Pennsylvania, USA",40.6662101,-75.2360103
"Roseto, Pennsylvania",Northampton County,"$17,419 ","Roseto, Northampton County, Pennsylvania, USA",40.8806512,-75.2146237
"Middlebury Township, Pennsylvania",Bucks County,"$17,390 ","Middlebury Drive, Warwick Township, Bucks County, Pennsylvania, 18974, USA",40.225471,-75.085826
"Portland, Pennsylvania",Northampton County,"$17,275 ","Portland, Northampton County, Pennsylvania, 18351, USA",40.9221629,-75.0979793
"Bristol, Pennsylvania",Bucks County,"$17,198 ","Bristol, Bucks County, Pennsylvania, USA",40.1006661,-74.8518311
"Coolbaugh Township, Pennsylvania",Monroe County,"$17,094 ","Coolbaugh Township, Monroe County, Pennsylvania, USA",41.17686355,-75.45531629
"Terry Township, Pennsylvania",Bucks County,"$16,352 ","Camp Terry Dam, Bedminster Township, Bucks County, Pennsylvania, 18910, USA",40.420104,-75.1596175
"Allentown, Pennsylvania",Lehigh County,"$16,282 ","Allentown, Lehigh County, Pennsylvania, USA",40.6022059,-75.4712794
"Fell Township, Pennsylvania",Bucks County,"$16,260 ","Fell, Pennswood Village, Middletown Township, Bucks County, Pennsylvania, 18940, USA",40.20618425,-74.93587343
"Slatington, Pennsylvania",Lehigh County,"$16,189 ","Slatington, Lehigh County, Pennsylvania, USA",40.7484285,-75.6118529
"Easton, Pennsylvania",Northampton County,"$15,949 ","Easton, Northampton County, Pennsylvania, USA",40.6916081,-75.2099866
"Tunkhannock Township, Monroe County, Pennsylvania",Monroe County,"$15,927 ","Tunkhannock Township, Monroe County, Pennsylvania, USA",41.04172825,-75.48082761
"Chapman, Pennsylvania",Northampton County,"$15,571 ","Chapman, Northampton County, Pennsylvania, 18014, USA",40.7606517,-75.404626
"East Stroudsburg, Pennsylvania",Monroe County,"$14,909 ","East Stroudsburg, Monroe County, Pennsylvania, 18301, USA",40.9995386,-75.1812913
"Cromwell Township, Pennsylvania",Monroe County,"$14,806 ","Cromwell Road, Hamilton Township, Monroe County, Pennsylvania, 18360, USA",40.9895459,-75.2880735
"Brookfield Township, Pennsylvania",Bucks County,"$14,673 ","Brookfield, Lower Makefield Township, Bucks County, Pennsylvania, USA",40.2523228,-74.88590401
"Warminster Heights, Pennsylvania",Bucks County,"$14,610 ","Warminster Heights, Bucks County, Pennsylvania, 18974, USA",40.1860813,-75.0883205
"Bart Township, Pennsylvania",Lehigh County,"$14,399 ","Bart Court, Washington Township, Lehigh County, Pennsylvania, 18080, USA",40.7048049,-75.6098011
"Wood Township, Pennsylvania",Bucks County,"$13,512 ","Wood, Bucks County, Pennsylvania, 19055, USA",40.1406655,-74.8468308
"Salisbury, Pennsylvania",Lehigh County,"$12,973 ","Salisbury, Lehigh County, Pennsylvania, USA",40.57341185,-75.43251453
