Town,County,Per capita income,Location,Lat,Lon
"East Caln Township, Pennsylvania",Chester County,"$33,430 ","East Caln Township, Chester County, Pennsylvania, USA",40.0124277,-75.67094888
"O'Hara Township, Pennsylvania",Allegheny County,"$33,356 ","O'Hara Township, Allegheny County, Pennsylvania, 15215, USA",40.5183146,-79.9240003
"Pennsbury Village, Pennsylvania",Allegheny County,"$33,339 ","Pennsbury Village, Allegheny County, Pennsylvania, USA",40.4281246,-80.1006113
"Bear Creek Village, Pennsylvania",Luzerne County,"$33,324 ","Bear Creek Village, Luzerne County, Pennsylvania, 18602, USA",41.1786936,-75.7563036
"Upper Uwchlan Township, Pennsylvania",Chester County,"$33,256 ","Upper Uwchlan Township, Chester County, Pennsylvania, 19354, United States of America",40.0807965,-75.69693179
"West Marlborough Township, Pennsylvania",Chester County,"$33,245 ","West Marlborough Township, Chester County, Pennsylvania, USA",39.8917821,-75.8089454
"Maple Glen, Pennsylvania",Montgomery County,"$33,058 ","Maple Glen, Talamore Drive, Horsham Township, Montgomery County, Pennsylvania, 19002, USA",40.178412,-75.17781969
"Northampton Township, Bucks County, Pennsylvania",Bucks County,"$33,028 ","Northampton Township, Bucks County, Pennsylvania, USA",40.20943295,-75.00203151
"Lionville-Marchwood, Pennsylvania",Chester County,"$33,003 ","Lionville-Marchwood, Biddle Drive, Uwchlan Township, Chester County, Pennsylvania, 19341, United States of America",40.0519885,-75.6453058
"Nether Providence Township, Pennsylvania",Delaware County,"$32,946 ","Nether Providence Township, Delaware County, Pennsylvania, 19086, USA",39.9004369,-75.36962439
"East Washington, Pennsylvania",Washington County,"$32,852 ","East Washington, Washington County, Pennsylvania, USA",40.1736822,-80.23756
"Flourtown, Pennsylvania",Montgomery County,"$32,848 ","Flourtown, Stenton Avenue, Springfield Township, Montgomery County, Pennsylvania, 19118, USA",40.10308515,-75.20422827
"Upper Gwynedd Township, Pennsylvania",Montgomery County,"$32,806 ","Upper Gwynedd Township, Montgomery County, Pennsylvania, USA",40.2142419,-75.30415601
"Yardley, Pennsylvania",Bucks County,"$32,802 ","Yardley, Bucks County, Pennsylvania, USA",40.245664,-74.8459972
"Bryn Athyn, Pennsylvania",Montgomery County,"$32,737 ","Bryn Athyn, Montgomery County, Pennsylvania, 19009, USA",40.1314988,-75.0673938
"Springfield Township, Montgomery County, Pennsylvania",Montgomery County,"$32,628 ","Springfield Township, Montgomery County, Pennsylvania, USA",40.09512775,-75.21412135
"Kilbuck Township, Pennsylvania",Allegheny County,"$32,582 ","Kilbuck Township, Allegheny County, Pennsylvania, USA",40.5208959,-80.098023
"Churchville, Pennsylvania",Bucks County,"$32,507 ","Churchville, Georgianna Drive, Northampton Township, Bucks County, Pennsylvania, 18966, USA",40.1973955,-74.99828622
"West Goshen Township, Pennsylvania",Chester County,"$32,487 ","West Goshen Township, Chester County, Pennsylvania, USA",39.97356,-75.58126245
"Ohio Township, Pennsylvania",Allegheny County,"$32,446 ","Ohio Township, Allegheny County, Pennsylvania, USA",40.5438658,-80.0920808
"Montgomery Township, Montgomery County, Pennsylvania",Montgomery County,"$32,349 ","Montgomery Township, Montgomery County, Pennsylvania, USA",40.24088115,-75.22564927
"Wyncote, Pennsylvania",Montgomery County,"$32,340 ","Wyncote, Hemlock Lane, Cheltenham Township, Montgomery County, Pennsylvania, 19095, USA",40.0906988,-75.14588569
"East Nantmeal Township, Pennsylvania",Chester County,"$32,258 ","East Nantmeal Township, Chester County, Pennsylvania, USA",40.13602245,-75.74353914
"Doylestown, Pennsylvania",Bucks County,"$32,249 ","Doylestown, Bucks County, Pennsylvania, 18901, USA",40.3100446,-75.1304588
"Village Shires, Pennsylvania",Bucks County,"$32,198 ","Village Shires, Netherlands Drive, Northampton Township, Bucks County, Pennsylvania, 18966, USA",40.201177,-74.97101133
"East Brandywine Township, Pennsylvania",Chester County,"$32,178 ","East Brandywine Township, Chester County, Pennsylvania, USA",40.03931605,-75.74756729
